Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
BB Royal,Ananas Flower/Ananas Huvu,100 g,₹178,₹200,Get it for ₹169.10!,11% OFF
BB Royal,Organic Tamarind/Hunisehannu,500 g,₹174,₹180,Get it for ₹165.30!,₹6 OFF
Catch,Jeera Powder,2x100 g - Multipack,₹232.9,₹274,No Product Sale Price,15% OFF
BB Super Saver,Kabuli Chana/Kabuli Kadale,1 kg,₹197,₹230,Get it for ₹187.15!,14% OFF
BB Royal,"Urad Black, Whole - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",200 g - Pouch,₹35,₹40,No Product Sale Price,13% OFF
Happilo,"Walnuts - Kernels, Premium 100% Natural Kashmiri",2x200 g - Multipack,₹682.5,₹910,No Product Sale Price,25% OFF
Fortune,"Xpert - Total Balance Oil, Blend Of Rice Bran, Soyabean & Flaxseeds, Rich In Omega 3",1 L - Pouch,₹129,₹160,Get it for ₹122.55!,19% OFF
BB Royal,White Peas/Bili Batani,1 kg - Pouch,₹114,₹180,No Product Sale Price,37% OFF
24 Mantra Organic,Fenugreek Seeds,2x100 g - Multipack,₹65.8,₹70,No Product Sale Price,6% OFF
Grocery Farm,"American Pistachios - Roasted & Salted, 100% Natural, Premium, No Additives",200 g,₹326.98,₹399,Get it for ₹310.63!,18% OFF
Happilo,Premium International Omani Dates,680 g,₹466.65,₹549,No Product Sale Price,15% OFF
BB Royal,Cashew/Godambi - Whole,1 kg,₹856,₹2000,No Product Sale Price,57% OFF
Organic Tattva,Wheat Flour (Atta),5 kg - Pouch,₹279.3,₹399,Har Din Sasta!,30% OFF
BB Royal,Organic - Puffed Rice/Kadle Puri,200 g,₹41,₹45,Get it for ₹38.95!,9% OFF
BB Super Saver,Urad Dal/Uddina Bele - Split,2 kg,₹311,₹399,No Product Sale Price,22% OFF
BB Royal,Organic - Ajwain/Om Kalu,50 g,₹26,₹32,No Product Sale Price,19% OFF
